Received regular ping from 23.15.9.163, time=11 ms
Received regular ping from 23.15.9.162, time=21 ms
Received regular ping from 104.68.154.159, time=13 ms
Received regular ping from 23.15.9.170, time=11 ms
Received regular ping from 23.15.9.171, time=11 ms
Failed to receive regular ping from 107.20.231.129, time=0 ms
Received regular ping from 64.13.149.10, time=85 ms
Received regular ping from 64.13.129.140, time=19 ms
Received regular ping from 72.21.215.52, time=40 ms
Received regular ping from 5.9.75.223, time=80 ms
Received regular ping from 209.17.80.100, time=38 ms
Received regular ping from 209.17.68.100, time=23 ms
Received regular ping from 24.176.92.1, time=20 ms
Received regular ping from 8.18.46.29, time=13 ms
Received regular ping from 208.93.105.173, time=17 ms
Received regular ping from 68.71.98.20, time=33 ms
Failed to receive regular ping from 68.87.29.59, time=0 ms
Received regular ping from 108.166.10.199, time=46 ms
Received regular ping from 23.235.46.129, time=11 ms
Received regular ping from 23.235.39.129, time=25 ms
Failed to receive regular ping from 64.12.99.152, time=0 ms
Received regular ping from 172.229.226.116, time=27 ms
Received regular ping from 66.155.9.244, time=21 ms
Received regular ping from 66.155.11.244, time=12 ms
Received regular ping from 192.0.83.250, time=43 ms
Received regular ping from 76.74.255.117, time=53 ms
Failed to receive regular ping from 192.0.82.250, time=0 ms
Received regular ping from 76.74.255.123, time=53 ms
Received regular ping from 108.161.189.33, time=24 ms
Received icmp->type=12 icmp->code=0
Received regular ping from 159.53.113.168, time=43 ms
Received icmp->type=12 icmp->code=0
Received regular ping from 184.73.183.144, time=22 ms
Received regular ping from 72.21.92.62, time=12 ms
Received regular ping from 199.241.235.201, time=66 ms
Received regular ping from 173.247.105.225, time=93 ms
Received regular ping from 199.27.76.129, time=16 ms
Received regular ping from 199.27.76.192, time=17 ms
Received regular ping from 173.193.24.64, time=44 ms
Received regular ping from 23.235.39.192, time=26 ms
Received regular ping from 23.235.46.129, time=11 ms
Received regular ping from 74.120.180.22, time=83 ms
Received regular ping from 74.115.0.211, time=29 ms
Received regular ping from 74.115.1.135, time=28 ms
Received regular ping from 209.237.233.38, time=83 ms
Received regular ping from 72.21.92.146, time=12 ms
Received regular ping from 23.218.146.113, time=12 ms
Received regular ping from 74.82.51.12, time=59 ms
Received regular ping from 23.192.160.8, time=15 ms
Received regular ping from 23.192.160.17, time=12 ms
Received regular ping from 104.68.144.243, time=13 ms
Failed to receive regular ping from 192.5.151.191, time=0 ms
Received regular ping from 23.235.39.185, time=25 ms
Received regular ping from 23.235.46.185, time=10 ms
Received regular ping from 104.68.144.215, time=11 ms
Received regular ping from 199.27.76.129, time=17 ms
Received regular ping from 23.235.39.129, time=26 ms
Received regular ping from 198.41.209.138, time=17 ms
Received regular ping from 198.41.208.143, time=11 ms
Received regular ping from 198.41.209.139, time=12 ms
Received regular ping from 198.41.209.142, time=13 ms
Received regular ping from 198.41.209.141, time=11 ms
Received regular ping from 198.41.209.136, time=11 ms
Received regular ping from 198.41.209.140, time=11 ms
Received regular ping from 198.41.208.141, time=11 ms
Received regular ping from 198.41.208.139, time=12 ms
Received regular ping from 198.41.208.142, time=12 ms
Received regular ping from 198.41.209.143, time=13 ms
Received regular ping from 198.41.208.137, time=11 ms
Received regular ping from 198.41.208.138, time=11 ms
Received regular ping from 198.41.209.137, time=16 ms
Received regular ping from 198.41.208.140, time=11 ms
Failed to receive regular ping from 15.193.112.155, time=0 ms
Received regular ping from 15.201.49.156, time=39 ms
Received regular ping from 104.156.60.77, time=31 ms
Received regular ping from 198.50.139.33, time=22 ms
Received regular ping from 23.235.46.192, time=13 ms
Received regular ping from 23.235.46.129, time=11 ms
Received regular ping from 199.27.76.230, time=16 ms
Received regular ping from 23.218.125.250, time=15 ms
Received regular ping from 104.68.138.194, time=11 ms
Received regular ping from 54.172.36.66, time=75 ms
Failed to receive regular ping from 107.21.0.5, time=0 ms
Received regular ping from 23.62.6.194, time=11 ms
Received regular ping from 23.62.6.161, time=17 ms
Received regular ping from 199.83.128.100, time=21 ms
Received regular ping from 199.27.76.129, time=30 ms
Received regular ping from 23.235.39.192, time=24 ms
Received regular ping from 199.83.132.4, time=17 ms
Received regular ping from 104.16.13.24, time=11 ms
Received regular ping from 104.16.12.24, time=19 ms
Received regular ping from 96.6.113.201, time=20 ms
Received regular ping from 96.6.113.209, time=13 ms
Received regular ping from 23.61.5.44, time=11 ms
Received regular ping from 199.83.128.89, time=18 ms
Received regular ping from 190.93.245.224, time=12 ms
Received regular ping from 190.93.244.224, time=11 ms
Received regular ping from 162.159.246.147, time=11 ms
Received regular ping from 162.159.245.147, time=12 ms
Received regular ping from 192.33.31.101, time=10 ms
Received regular ping from 104.20.25.80, time=11 ms
Received regular ping from 104.20.27.80, time=12 ms
Received regular ping from 104.20.24.80, time=12 ms
Received regular ping from 104.20.28.80, time=15 ms
Received regular ping from 104.20.26.80, time=11 ms
Received regular ping from 50.56.5.31, time=39 ms
Received regular ping from 208.40.245.50, time=19 ms
Received regular ping from 199.27.76.175, time=16 ms
Failed to receive regular ping from 54.236.199.250, time=0 ms
Received regular ping from 54.84.190.87, time=44 ms
Received regular ping from 23.235.46.129, time=11 ms
Received regular ping from 199.27.76.129, time=16 ms
Received regular ping from 104.68.132.88, time=11 ms
Received regular ping from 208.43.68.142, time=11 ms
Received regular ping from 23.235.39.143, time=26 ms
Received regular ping from 104.68.132.78, time=12 ms
Received regular ping from 192.96.201.17, time=13 ms
Received regular ping from 199.233.14.33, time=20 ms
Received regular ping from 23.235.46.185, time=11 ms
Received regular ping from 23.235.39.185, time=25 ms
Received regular ping from 216.69.227.70, time=23 ms
Received regular ping from 67.201.52.148, time=97 ms
Received regular ping from 23.235.46.129, time=11 ms
Received regular ping from 23.235.46.192, time=11 ms
Failed to receive regular ping from 171.161.198.100, time=0 ms
Received regular ping from 209.126.235.136, time=86 ms
Received regular ping from 104.68.130.161, time=12 ms
Failed to receive regular ping from 192.5.151.193, time=0 ms
Failed to receive regular ping from 134.170.185.46, time=0 ms
Failed to receive regular ping from 134.170.188.221, time=0 ms
Received regular ping from 23.192.160.106, time=11 ms
Received regular ping from 23.192.160.99, time=11 ms
Received regular ping from 216.178.47.11, time=76 ms
Failed to receive regular ping from 216.168.54.41, time=0 ms
Received regular ping from 198.41.208.28, time=11 ms
Received regular ping from 198.41.209.28, time=13 ms
Received regular ping from 198.41.208.27, time=11 ms
Received regular ping from 198.41.209.27, time=16 ms
Received regular ping from 198.41.209.26, time=13 ms
Received regular ping from 192.0.80.250, time=57 ms
Received regular ping from 76.74.254.120, time=53 ms
Received regular ping from 192.0.81.250, time=75 ms
Received regular ping from 76.74.254.123, time=52 ms
Received regular ping from 66.155.11.238, time=14 ms
Received regular ping from 66.155.9.238, time=14 ms
Received regular ping from 23.15.9.171, time=16 ms
Received regular ping from 23.15.9.163, time=12 ms
Received regular ping from 104.28.16.64, time=16 ms
Received regular ping from 104.28.17.64, time=12 ms
Received regular ping from 54.69.234.137, time=126 ms
Received regular ping from 54.68.198.108, time=20 ms
Received regular ping from 54.201.57.105, time=24 ms
Received regular ping from 192.211.12.20, time=75 ms
Received regular ping from 69.164.39.157, time=17 ms
Received regular ping from 98.158.27.203, time=18 ms
Received regular ping from 38.69.47.251, time=34 ms
Received regular ping from 38.69.47.252, time=34 ms
Received regular ping from 208.185.238.251, time=37 ms
Received regular ping from 64.233.171.121, time=20 ms
Received regular ping from 198.50.139.34, time=18 ms
Received regular ping from 66.235.122.36, time=29 ms
Received regular ping from 66.235.122.41, time=115 ms
Received regular ping from 66.235.122.38, time=22 ms
Received regular ping from 66.235.122.37, time=20 ms
Received regular ping from 66.235.122.40, time=21 ms
Failed to receive regular ping from 66.235.122.39, time=0 ms
Received regular ping from 66.235.122.42, time=36 ms
Received regular ping from 66.235.122.43, time=29 ms
Received regular ping from 64.30.234.73, time=19 ms
Received regular ping from 64.30.234.74, time=27 ms
Received regular ping from 104.68.154.27, time=12 ms
Received regular ping from 23.235.39.129, time=25 ms
Received regular ping from 23.235.46.192, time=11 ms
Received regular ping from 23.15.7.144, time=12 ms
Received regular ping from 23.15.7.96, time=19 ms
Received regular ping from 23.15.9.171, time=14 ms
Received regular ping from 23.15.9.163, time=11 ms
Received regular ping from 54.69.247.69, time=21 ms
Received regular ping from 54.69.195.229, time=23 ms
Received regular ping from 54.186.209.17, time=25 ms
Received regular ping from 23.15.9.154, time=11 ms
Received regular ping from 23.15.9.179, time=12 ms
Received regular ping from 104.130.250.84, time=21 ms
Received regular ping from 54.230.49.90, time=17 ms
Received regular ping from 54.230.49.10, time=19 ms
Received regular ping from 54.230.50.58, time=21 ms
Received regular ping from 54.192.48.149, time=21 ms
Received regular ping from 54.230.51.100, time=21 ms
Received regular ping from 54.230.51.109, time=20 ms
Received regular ping from 54.230.51.88, time=20 ms
Received regular ping from 54.230.51.163, time=21 ms
Received regular ping from 107.170.240.74, time=21 ms
Received regular ping from 23.15.9.137, time=14 ms
Received regular ping from 23.15.9.154, time=16 ms
Received regular ping from 104.68.152.242, time=24 ms
Received regular ping from 104.68.129.102, time=23 ms
Received regular ping from 104.68.132.250, time=11 ms
Received regular ping from 23.253.134.77, time=19 ms
Received regular ping from 206.191.160.168, time=31 ms
Received regular ping from 104.68.155.167, time=17 ms
Received regular ping from 104.68.145.12, time=19 ms
Received regular ping from 192.230.66.136, time=40 ms
Received regular ping from 96.6.113.138, time=13 ms
Received regular ping from 96.6.113.200, time=18 ms
Received regular ping from 74.205.15.103, time=12 ms
Received regular ping from 93.184.216.105, time=18 ms
Received regular ping from 66.114.52.21, time=19 ms
Received regular ping from 174.35.27.71, time=18 ms
Received regular ping from 162.159.241.187, time=12 ms
Received regular ping from 162.159.242.187, time=11 ms
Received regular ping from 72.26.195.33, time=17 ms
Received regular ping from 64.135.77.80, time=39 ms
Received regular ping from 64.135.21.3, time=88 ms
Received regular ping from 23.67.246.80, time=16 ms
Received regular ping from 23.67.246.25, time=19 ms
Received regular ping from 23.235.39.129, time=25 ms
Received regular ping from 199.27.76.192, time=16 ms
Received regular ping from 104.68.151.136, time=12 ms
Received regular ping from 206.190.57.61, time=12 ms
Received regular ping from 206.190.57.60, time=13 ms
Received regular ping from 98.139.199.205, time=34 ms
Received regular ping from 216.115.101.179, time=18 ms
Received regular ping from 98.139.199.204, time=26 ms
Received regular ping from 216.115.101.178, time=16 ms
Received regular ping from 23.15.7.139, time=11 ms
Received regular ping from 23.15.7.107, time=12 ms
Received regular ping from 23.193.196.229, time=16 ms
Received regular ping from 104.28.29.6, time=12 ms
Received regular ping from 104.28.28.6, time=14 ms
Received regular ping from 208.71.130.252, time=18 ms
Received regular ping from 208.71.130.253, time=18 ms
Received regular ping from 199.80.59.132, time=19 ms
Received regular ping from 192.33.31.51, time=11 ms
Received regular ping from 67.214.157.20, time=24 ms
Received regular ping from 23.15.9.171, time=12 ms
Received regular ping from 23.15.9.163, time=11 ms
Received regular ping from 162.159.244.13, time=12 ms
Received regular ping from 162.159.243.13, time=13 ms
Received regular ping from 23.62.226.72, time=12 ms
Failed to receive regular ping from 184.72.244.154, time=0 ms
Received regular ping from 184.72.245.68, time=21 ms
Received regular ping from 104.236.58.220, time=17 ms
Failed to receive regular ping from 23.21.248.86, time=0 ms
Received regular ping from 104.68.134.227, time=11 ms
Received regular ping from 104.68.139.52, time=13 ms
Received regular ping from 185.28.222.11, time=20 ms
Received regular ping from 23.235.46.192, time=11 ms
Received regular ping from 199.27.76.192, time=18 ms
Received regular ping from 198.252.206.140, time=18 ms
Received regular ping from 104.16.19.166, time=11 ms
Received regular ping from 104.16.21.166, time=12 ms
Received regular ping from 104.16.23.166, time=11 ms
Received regular ping from 104.16.22.166, time=12 ms
Received regular ping from 104.16.20.166, time=12 ms
Received regular ping from 31.13.71.10, time=22 ms
Received regular ping from 23.192.160.8, time=11 ms
Received regular ping from 23.192.160.17, time=12 ms
Received regular ping from 104.68.152.111, time=11 ms
Received regular ping from 104.68.149.108, time=11 ms
Received regular ping from 192.230.69.136, time=28 ms
Received regular ping from 199.87.248.80, time=36 ms
Received regular ping from 199.87.248.79, time=24 ms
Received regular ping from 174.143.118.168, time=20 ms
Received regular ping from 162.242.140.188, time=46 ms
Failed to receive regular ping from 207.223.6.20, time=0 ms
Failed to receive regular ping from 207.223.6.19, time=0 ms
Received regular ping from 23.192.160.98, time=19 ms
Received regular ping from 23.192.160.144, time=12 ms
Received regular ping from 199.241.235.41, time=67 ms
Received regular ping from 205.128.74.252, time=67 ms
Received regular ping from 199.93.43.126, time=43 ms
Received regular ping from 192.221.105.254, time=44 ms
Received regular ping from 199.27.76.129, time=15 ms
Received regular ping from 199.27.76.192, time=18 ms
Failed to receive regular ping from 54.164.90.200, time=0 ms
Received regular ping from 64.27.54.226, time=59 ms
Failed to receive regular ping from 54.193.114.68, time=0 ms
Received regular ping from 199.27.76.175, time=16 ms
Failed to receive regular ping from 184.73.248.59, time=0 ms
Failed to receive regular ping from 23.23.153.96, time=0 ms
Failed to receive regular ping from 54.231.9.60, time=0 ms
Received regular ping from 173.231.134.18, time=17 ms
Received regular ping from 173.231.134.22, time=17 ms
Received regular ping from 23.15.9.171, time=13 ms
Received regular ping from 23.15.9.163, time=15 ms
Received regular ping from 38.118.71.70, time=12 ms
Received regular ping from 23.61.5.99, time=18 ms
Received regular ping from 157.56.109.9, time=21 ms
Received regular ping from 23.192.160.96, time=19 ms
Received regular ping from 23.192.160.120, time=14 ms
Received regular ping from 104.28.8.35, time=13 ms
Received regular ping from 104.28.9.35, time=12 ms
Failed to receive regular ping from 64.93.76.104, time=0 ms
Received regular ping from 104.68.148.86, time=14 ms
Received regular ping from 104.68.145.241, time=13 ms
Received regular ping from 137.187.25.43, time=22 ms
Received regular ping from 173.241.154.10, time=67 ms
Received regular ping from 23.15.9.176, time=12 ms
Received regular ping from 23.15.9.139, time=14 ms
Received regular ping from 104.68.131.99, time=11 ms
Received regular ping from 23.192.160.17, time=13 ms
Received regular ping from 23.192.160.18, time=11 ms
Received regular ping from 67.196.156.66, time=20 ms
Received regular ping from 64.94.140.201, time=87 ms
Received regular ping from 67.59.71.49, time=92 ms
Received regular ping from 75.126.26.245, time=43 ms
Received regular ping from 104.28.24.8, time=12 ms
Received regular ping from 104.28.25.8, time=11 ms
Received regular ping from 104.68.131.100, time=11 ms
Received regular ping from 23.192.160.152, time=11 ms
Received regular ping from 23.192.160.104, time=16 ms
Received regular ping from 23.67.246.67, time=16 ms
Received regular ping from 23.67.246.8, time=20 ms
Received regular ping from 192.193.219.58, time=20 ms
Received regular ping from 104.68.132.153, time=18 ms
Received regular ping from 104.68.144.233, time=16 ms
Received regular ping from 54.243.47.173, time=21 ms
Received regular ping from 50.19.114.82, time=25 ms
Received regular ping from 173.194.68.121, time=20 ms
Received regular ping from 54.88.207.167, time=34 ms
Failed to receive regular ping from 107.23.60.32, time=0 ms
Received regular ping from 162.209.67.94, time=47 ms
Received regular ping from 209.102.210.73, time=50 ms
Received regular ping from 162.159.249.47, time=12 ms
Received regular ping from 162.159.250.47, time=15 ms
Received regular ping from 23.218.125.250, time=12 ms
Received regular ping from 104.68.129.182, time=11 ms
Received regular ping from 192.5.151.197, time=27 ms
Received regular ping from 104.68.131.114, time=12 ms
Received regular ping from 104.68.152.111, time=12 ms
Received regular ping from 104.68.156.63, time=12 ms
Received regular ping from 75.126.33.195, time=24 ms
Received regular ping from 208.80.154.224, time=11 ms
Failed to receive regular ping from 54.164.14.106, time=0 ms
Failed to receive regular ping from 54.174.246.38, time=0 ms
Received regular ping from 198.11.132.23, time=86 ms
Received regular ping from 23.218.125.45, time=12 ms
Received regular ping from 54.164.114.12, time=12 ms
Received regular ping from 199.231.120.39, time=12 ms
Received regular ping from 192.230.69.24, time=17 ms
Received regular ping from 54.174.9.175, time=23 ms
Received regular ping from 54.175.162.135, time=38 ms
Received regular ping from 23.15.9.153, time=12 ms
